game_pk,date,venue,home_team,away_team,home_team_id,away_team_id,home_score,away_score,is_final,park_pf_runs,park_pf_hr,park_elev_ft,park_roof,runs_mult,hr_mult,wind_to_cf_mph,temp_f,home_off_rpg,home_off_k_pct,home_off_bb_pct,home_off_iso,home_off_ops,away_off_rpg,away_off_k_pct,away_off_bb_pct,away_off_iso,away_off_ops,home_sp_id,home_sp_name,home_sp_fip,home_sp_k9,home_sp_bb9,home_sp_era,home_sp_hr9,away_sp_id,away_sp_name,away_sp_fip,away_sp_k9,away_sp_bb9,away_sp_era,away_sp_hr9,home_bp_era,home_bp_fip,away_bp_era,away_bp_fip,home_off_rpg_recent,home_off_ops_recent,away_off_rpg_recent,away_off_ops_recent,home_pit_era_recent,away_pit_era_recent,home_sp_xfip,away_sp_xfip,home_sp_fip_minus,away_sp_fip_minus,home_off_woba,away_off_woba,home_off_babip,away_off_babip,home_off_x_park,away_off_x_park,home_sp_x_off,away_sp_x_off,home_off_minus_oppsp,away_off_minus_oppsp,home_off_xwoba_sc,away_off_xwoba_sc,home_off_barrel_rate,away_off_barrel_rate,home_sp_xera_sc,away_sp_xera_sc,ump_k_mult,home_lineup_ops,away_lineup_ops,home_lineup_woba,away_lineup_woba,home_lineup_k_pct,away_lineup_k_pct,home_lineup_bb_pct,away_lineup_bb_pct,home_lineup_xwoba_vs_hand,away_lineup_xwoba_vs_hand,home_lineup_ids,away_lineup_ids
823244,2026-03-25,Oracle Park,San Francisco Giants,New York Yankees,137,147,0,7,True,0.97,0.84,12,open,1.0362730470590793,1.1435366803202809,12.1832803240058,64.4,4.326923076923077,0.22313348416289594,0.08399321266968328,0.14423076923076922,0.7083461538461538,4.596153846153846,0.2278846153846154,0.08461538461538463,0.14636752136752135,0.7174230769230769,657277,Logan Webb,3.0052631578947366,11.173170731707316,2.7210526315789476,6.655263157894737,0.7894736842105263,608331,Max Fried,3.536193222782985,6.874653739612189,2.639509733237203,3.082191780821918,0.8219178082191781,5.166666666666666,2.9148148148148145,2.6785714285714284,3.425396825396825,4.326923076923077,0.7083461538461538,4.596153846153846,0.7174230769230769,5.166666666666666,2.6785714285714284,3.0052631578947366,3.536193222782985,100.0,100.00000000000001,0.3074321266968326,0.31399038461538464,0.2882692307692308,0.2996923076923077,0.6870957692307692,0.6959003846153846,2.156045141700405,2.504848868615163,1.2447312961011585,-2.059109311740891,0.2992237288135593,0.34673882224645586,7.391694915254238,11.595201744820063,4.409162011173184,3.1234188034188035,2.1085,0.7163448979591838,0.7215272804220139,0.31030011615035624,0.3140797132426494,0.22358405483405486,0.22738193916024727,0.08448018817916778,0.08460242769080821,0.2990799761027423,0.334567572613597,650333|656305|646240|642715|808982|671218|669477|672275|664056,663757|592450|641355|700250|519317|665862|676609|641857|669224
823649,2026-03-26,Citi Field,New York Mets,Pittsburgh Pirates,121,134,11,7,True,0.96,0.92,37,open,1.026368092518795,1.0973922110185967,7.882345906694214,66.2,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,642547,Freddy Peralta,4.1,8.7,3.2,4.5,1.2,694973,Paul Skenes,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.6911999999999999,0.6911999999999999,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3088150163220893,0.3246597186034393,7.92981501632209,8.149557060969256,3.9284076433121022,3.28356890459364,2.0355,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.2929227458527995,0.3171698466655288,596019|665742|666182|593871|673357|683146|543760|701807|682626,665833|664040|668804|542303|656811|669707|687462|693304|680779
823812,2026-03-26,American Family Field,Milwaukee Brewers,Chicago White Sox,158,145,14,2,True,1.01,1.07,635,retractable,1.0014150000000002,1.01133,0.0,51.1,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,694819,Jacob Misiorowski,4.1,8.7,3.2,4.5,1.2,681343,Shane Smith,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.7272,0.7272,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3146970198675497,0.32413444027852173,7.297019867549668,9.62560257096947,3.5342622950819673,4.2,1.9518,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.3194579698879467,0.29896503642349265,668930|661388|592885|683734|641343|686217|666152|669003|687401,805367|695657|678246|643217|669720|808959|677592|700337|682668
824704,2026-03-26,Wrigley Field,Chicago Cubs,Washington Nationals,112,120,4,10,True,1.0,0.97,595,open,0.8022835961972629,0.5811252741001997,-11.79708442403226,44.6,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,571510,Matthew Boyd,4.1,8.7,3.2,4.5,1.2,676917,Cade Cavalli,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.72,0.72,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3329249609171443,0.3202045334739062,8.57305888483585,8.754190827622562,4.176,3.9852380952380955,1.6949,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.310032971838505,0.3109414902308166,683737|608324|664023|691718|663538|608348|694208|621020|807713,695578|665953|691781|695734|686894|682928|683083|660688|696285
824865,2026-03-26,Oriole Park at Camden Yards,Baltimore Orioles,Minnesota Twins,110,142,2,1,True,0.99,0.96,20,open,1.09871130153992,1.2524834913581915,8.698674947860603,77.7,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,669432,Trevor Rogers,4.1,8.7,3.2,4.5,1.2,657746,Joe Ryan,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.7128,0.7128,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3214651539708266,0.31778325384207734,7.591301998919502,9.32331743508214,3.9556183745583042,3.6476872964169385,1.7351,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.30624217376198093,0.3015611440921588,621493|683002|624413|668939|694212|641933|681297|691723|677942,668885|621439|807712|680777|670242|605137|605170|668904|686797
824541,2026-03-26,Great American Ball Park,Cincinnati Reds,Boston Red Sox,113,111,0,3,True,1.04,1.18,482,open,1.0697632471355525,1.166493367077702,3.5542266586330657,79.8,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,671096,Andrew Abbott,4.1,8.7,3.2,4.5,1.2,676979,Garrett Crochet,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.7488,0.7488,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.32496112311015124,0.3153363733905579,10.63072354211663,8.066577253218885,4.824939759036145,4.506666666666667,1.8169,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.3122217382608708,0.31716609742862406,670770|680574|682829|701398|553993|668715|663886|682622|663647,701350|596115|680776|575929|702332|677800|643396|665966|678882
824218,2026-03-26,Daikin Park,Houston Astros,Los Angeles Angels,117,108,0,3,True,1.01,1.05,50,retractable,1.1278229317609323,1.3124206994435819,7.8934180146016315,84.4,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,686613,Hunter Brown,4.1,8.7,3.2,4.5,1.2,667755,José Soriano,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.7272,0.7272,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.33349050795279633,0.3158675392670157,8.709081580297589,9.437068062827226,3.6719689119170984,4.017321428571429,1.7555,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.3262103995917378,0.30343178388666714,514888|670541|670623|621043|694388|701358|572233|673237|676694,687263|545361|694384|624585|660162|666176|666139|681351|672724
823325,2026-03-26,Petco Park,San Diego Padres,Detroit Tigers,135,116,2,8,True,0.96,0.92,13,open,1.0191729188273282,1.0389791203165515,-0.20939698021500575,74.5,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,601713,Nick Pivetta,4.1,8.7,3.2,4.5,1.2,669373,Tarik Skubal,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.6911999999999999,0.6911999999999999,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3187072899276572,0.33595432819968135,8.470450751252088,9.920870950610729,3.4605555555555556,3.6536708860759495,1.7598,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.31216851462991513,0.3273458054912048,665487|593428|592518|701538|609280|657757|657656|666023|630105,681481|650402|690993|682985|679529|805808|693307|678009|595879
823081,2026-03-26,Busch Stadium,St. Louis Cardinals,Tampa Bay Rays,138,139,9,7,True,0.96,0.93,462,open,1.1950961121970078,1.493890490909423,13.068089058403697,90.1,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,669461,Matthew Liberatore,4.1,8.7,3.2,4.5,1.2,656876,Drew Rasmussen,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.6911999999999999,0.6911999999999999,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.3267017259978425,0.30629180327868855,8.785652642934195,5.235300546448087,5.02590909090909,3.70010101010101,1.5899,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.3176751828621282,0.31020217950533535,802139|671056|676475|691026|669357|691023|701675|686780|687363,650490|668723|666018|691406|810938|676356|663743|656775|700246
823486,2026-03-26,Citizens Bank Park,Philadelphia Phillies,Texas Rangers,143,140,5,3,True,1.04,1.13,20,open,1.093156112052379,1.2500053687463357,10.286007608425347,75.0,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,4.326923076923077,0.21634615384615385,0.08173076923076925,0.14423076923076922,0.72,650911,Cristopher Sánchez,4.1,8.7,3.2,4.5,1.2,543135,Nathan Eovaldi,4.1,8.7,3.2,4.5,1.2,4.5,4.1,4.5,4.1,4.326923076923077,0.72,4.326923076923077,0.72,4.5,4.5,4.1,4.1,100.0,100.0,0.3028846153846154,0.3028846153846154,0.28365384615384615,0.28365384615384615,0.7488,0.7488,2.9519999999999995,2.9519999999999995,-0.17307692307692335,-0.17307692307692335,0.31376088124664164,0.3127878787878788,7.575389575497045,7.927217630853995,3.5537883008356546,4.296408668730651,1.793,0.72,0.72,0.31500000000000006,0.31500000000000006,0.225,0.225,0.08500000000000002,0.08500000000000002,0.31826686646587343,0.3025291144743087,607208|656941|547180|664761|681082|666969|669016|592663|702222,607043|694671|608369|669394|457705|673962|669701|643376|664059
